"citation","book","chapter","verse","text"
"Nahum 1:8","Nahum",1,8,"But with an overrunning flood he will make an utter end of the place thereof, and darkness shall pursue his enemies. 
"
"Luke 5:11","Luke",5,11,"And when they had brought their ships to land, they forsook all, and followed him. 
"
"Jeremiah 44:7","Jeremiah",44,7,"Therefore now thus saith the LORD, the God of hosts, the God of Israel; Wherefore commit ye this great evil against your souls, to cut off from you man and woman, child and suckling, out of Judah, to leave you none to remain; 
"
"Numbers 15:16","Numbers",15,16,"One law and one manner shall be for you, and for the stranger that sojourneth with you. 
"
"2 Chronicles 1:9","2 Chronicles",1,9,"Now, O LORD God, let thy promise unto David my father be established: for thou hast made me king over a people like the dust of the earth in multitude. 
"
"Leviticus 2:1","Leviticus",2,1,"And when any will offer a meat offering unto the LORD, his offering shall be of fine flour; and he shall pour oil upon it, and put frankincense thereon: 
"
"Numbers 3:31","Numbers",3,31,"And their charge shall be the ark, and the table, and the candlestick, and the altars, and the vessels of the sanctuary wherewith they minister, and the hanging, and all the service thereof. 
"
"Genesis 49:26","Genesis",49,26,"The blessings of thy father have prevailed above the blessings of my progenitors unto the utmost bound of the everlasting hills: they shall be on the head of Joseph, and on the crown of the head of him that was separate from his brethren. 
"
"Mark 5:9","Mark",5,9,"And he asked him, What is thy name? And he answered, saying, My name is Legion: for we are many. 
"
"Deuteronomy 15:17","Deuteronomy",15,17,"Then thou shalt take an awl, and thrust it through his ear unto the door, and he shall be thy servant for ever. And also unto thy maidservant thou shalt do likewise. 
"
"Proverbs 28:21","Proverbs",28,21,"To have respect of persons is not good: for for a piece of bread that man will transgress. 
"
"Philemon 1:8","Philemon",1,8,"Wherefore, though I might be much bold in Christ to enjoin thee that which is convenient, 
"
"Jeremiah 25:18","Jeremiah",25,18,"To wit, Jerusalem, and the cities of Judah, and the kings thereof, and the princes thereof, to make them a desolation, an astonishment, an hissing, and a curse; as it is this day; 
"
"Acts 26:11","Acts",26,11,"And I punished them oft in every synagogue, and compelled them to blaspheme; and being exceedingly mad against them, I persecuted them even unto strange cities. 
"
"Luke 9:57","Luke",9,57,"And it came to pass, that, as they went in the way, a certain man said unto him, Lord, I will follow thee whithersoever thou goest. 
"
"1 Kings 4:2","1 Kings",4,2,"And these were the princes which he had; Azariah the son of Zadok the priest, 
"
"John 3:5","John",3,5,"Jesus answered, Verily, verily, I say unto thee, Except a man be born of water and of the Spirit, he cannot enter into the kingdom of God. 
"
"Hebrews 9:8","Hebrews",9,8,"The Holy Ghost this signifying, that the way into the holiest of all was not yet made manifest, while as the first tabernacle was yet standing: 
"
"2 Chronicles 35:3","2 Chronicles",35,3,"And said unto the Levites that taught all Israel, which were holy unto the LORD, Put the holy ark in the house which Solomon the son of David king of Israel did build; it shall not be a burden upon your shoulders: serve now the LORD your God, and his people Israel, 
"
"Isaiah 36:2","Isaiah",36,2,"And the king of Assyria sent Rabshakeh from Lachish to Jerusalem unto king Hezekiah with a great army. And he stood by the conduit of the upper pool in the highway of the fuller's field. 
"
"Genesis 32:1","Genesis",32,1,"And Jacob went on his way, and the angels of God met him. 
"
"1 Kings 21:21","1 Kings",21,21,"Behold, I will bring evil upon thee, and will take away thy posterity, and will cut off from Ahab him that pisseth against the wall, and him that is shut up and left in Israel, 
"
"Acts 13:41","Acts",13,41,"Behold, ye despisers, and wonder, and perish: for I work a work in your days, a work which ye shall in no wise believe, though a man declare it unto you. 
"
"Jeremiah 14:20","Jeremiah",14,20,"We acknowledge, O LORD, our wickedness, and the iniquity of our fathers: for we have sinned against thee. 
"
"Jeremiah 51:51","Jeremiah",51,51,"We are confounded, because we have heard reproach: shame hath covered our faces: for strangers are come into the sanctuaries of the LORD's house. 
"
"Luke 18:35","Luke",18,35,"And it came to pass, that as he was come nigh unto Jericho, a certain blind man sat by the way side begging: 
"
"1 Samuel 1:26","1 Samuel",1,26,"And she said, Oh my lord, as thy soul liveth, my lord, I am the woman that stood by thee here, praying unto the LORD. 
"
"Leviticus 20:2","Leviticus",20,2,"Again, thou shalt say to the children of Israel, Whosoever he be of the children of Israel, or of the strangers that sojourn in Israel, that giveth any of his seed unto Molech; he shall surely be put to death: the people of the land shall stone him with stones. 
"
"Acts 27:37","Acts",27,37,"And we were in all in the ship two hundred threescore and sixteen souls. 
"
"Numbers 16:21","Numbers",16,21,"Separate yourselves from among this congregation, that I may consume them in a moment. 
"
"Jeremiah 37:14","Jeremiah",37,14,"Then said Jeremiah, It is false; I fall not away to the Chaldeans. But he hearkened not to him: so Irijah took Jeremiah, and brought him to the princes. 
"
"1 Chronicles 7:7","1 Chronicles",7,7,"And the sons of Bela; Ezbon, and Uzzi, and Uzziel, and Jerimoth, and Iri, five; heads of the house of their fathers, mighty men of valor; and were reckoned by their genealogies twenty and two thousand and thirty and four. 
"
"Genesis 42:38","Genesis",42,38,"And he said, My son shall not go down with you; for his brother is dead, and he is left alone: if mischief befall him by the way in the which ye go, then shall ye bring down my gray hairs with sorrow to the grave. 
"
"Genesis 3:5","Genesis",3,5,"For God doth know that in the day ye eat thereof, then your eyes shall be opened, and ye shall be as gods, knowing good and evil. 
"
"Joshua 19:5","Joshua",19,5,"And Ziklag, and Bethmarcaboth, and Hazarsusah, 
"
"1 Kings 5:16","1 Kings",5,16,"Beside the chief of Solomon's officers which were over the work, three thousand and three hundred, which ruled over the people that wrought in the work. 
"
"1 Samuel 11:8","1 Samuel",11,8,"And when he numbered them in Bezek, the children of Israel were three hundred thousand, and the men of Judah thirty thousand. 
"
"Exodus 18:10","Exodus",18,10,"And Jethro said, Blessed be the LORD, who hath delivered you out of the hand of the Egyptians, and out of the hand of Pharaoh, who hath delivered the people from under the hand of the Egyptians. 
"
"Deuteronomy 20:7","Deuteronomy",20,7,"And what man is there that hath betrothed a wife, and hath not taken her? let him go and return unto his house, lest he die in the battle, and another man take her. 
"
"Matthew 15:9","Matthew",15,9,"But in vain they do worship me, teaching for doctrines the commandments of men. 
"
"Colossians 4:4","Colossians",4,4,"That I may make it manifest, as I ought to speak. 
"
"1 Chronicles 23:27","1 Chronicles",23,27,"For by the last words of David the Levites were numbered from twenty years old and above: 
"
"Nehemiah 4:4","Nehemiah",4,4,"Hear, O our God; for we are despised: and turn their reproach upon their own head, and give them for a prey in the land of captivity: 
"
